Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,5,4,214,242.0,4700000000,4700.0
0.0,2,2,131,178.0,3550000000,3550.0
0.0,4,1,210,309.0,2550000000,2550.0
2.0,4,4,110,95.0,1500000000,1500.0
0.0,6,2,160,191.0,4950000000,4950.0
0.0,4,4,164,220.0,5000000000,5000.0
0.0,4,3,149,200.0,4000000000,4000.0
0.0,4,4,127,126.0,2575000000,2575.0
0.0,2,3,130,181.0,1800000000,1800.0
0.0,9,7,250,116.0,1300000000,1300.0
0.0,4,4,127,126.0,2450000000,2450.0
0.0,4,3,150,120.0,2450000000,2450.0
3.0,3,2,115,84.0,950000000,950.0
0.0,3,3,160,102.0,1800000000,1800.0
0.0,3,3,135,90.0,1850000000,1850.0
0.0,2,2,94,102.0,1750000000,1750.0
172.0,4,2,250,172.0,1500000000,1500.0
0.0,3,3,110,85.0,1100000000,1100.0
0.0,3,2,160,98.0,2200000000,2200.0
3.0,4,2,96,218.0,2200000000,2200.0
0.0,1,1,30,60.0,166000000,166.0
0.0,2,1,36,50.0,140000000,140.0
1.0,4,2,160,160.0,2100000000,2100.0
0.0,3,2,101,101.0,1265000000,1265.0
0.0,4,4,135,85.0,1800000000,1800.0
1.0,5,4,244,277.0,2000000000,2000.0
1.0,5,3,156,148.0,2050000000,2050.0
1.0,4,2,150,170.0,2900000000,2900.0
0.0,4,4,127,134.0,2450000000,2450.0
20.0,2,1,40,60.0,270000000,270.0
0.0,5,5,200,180.0,3950000000,3950.0
0.0,2,2,72,50.0,450000000,450.0
0.0,4,3,150,120.0,1550000000,1550.0
0.0,3,2,98,100.0,1050000000,1050.0
2.0,4,3,176,109.0,2900000000,2900.0
0.0,4,3,200,255.0,3700000000,3700.0
0.0,2,1,60,114.0,1300000000,1300.0
0.0,5,3,200,135.0,1500000000,1500.0
0.0,4,4,90,95.0,1500000000,1500.0
1.0,4,2,150,90.0,800000000,800.0
0.0,4,2,160,88.0,1500000000,1500.0
2.0,4,3,150,119.0,1900000000,1900.0
0.0,2,3,95,94.0,2200000000,2200.0
0.0,6,4,236,158.0,2500000000,2500.0
1.0,4,4,80,147.0,1100000000,1100.0
0.0,2,1,70,40.0,500000000,500.0
0.0,3,3,140,150.0,2300000000,2300.0
2.0,2,2,78,85.0,950000000,950.0
1.0,2,1,31,60.0,800000000,800.0
0.0,4,2,120,140.0,2300000000,2300.0
1.0,2,2,94,96.0,2250000000,2250.0
0.0,5,4,126,104.0,1600000000,1600.0
1.0,5,4,1202,198.0,5000000000,5000.0
2.0,4,5,202,198.0,5000000000,5000.0
0.0,3,1,45,72.0,260000000,260.0
0.0,4,3,225,150.0,1400000000,1400.0
1.0,5,5,168,117.0,1980000000,1980.0
0.0,3,2,90,140.0,460000000,460.0
4.0,6,4,500,400.0,3100000000,3100.0
1.0,3,2,84,70.0,985000000,985.0
12.0,7,4,300,188.0,1950000000,1950.0
0.0,3,3,120,81.0,1790000000,1790.0
2.0,3,3,200,184.0,2200000000,2200.0
0.0,3,2,120,105.0,1350000000,1350.0
2.0,6,4,230,219.0,3700000000,3700.0
2.0,5,5,400,204.0,2500000000,2500.0
0.0,4,2,126,224.0,1900000000,1900.0
0.0,4,4,160,102.0,2100000000,2100.0
0.0,2,2,45,85.0,492000000,492.0
0.0,2,1,30,50.0,175121000,175.12
2.0,3,2,90,88.0,875000000,875.0
0.0,4,3,111,158.0,3300000000,3300.0
1.0,3,2,100,140.0,1600000000,1600.0
0.0,2,2,50,90.0,800000000,800.0
1.0,2,2,48,78.0,850000000,850.0
2.0,4,3,117,100.0,1500000000,1500.0
0.0,1,2,200,125.0,2135000000,2135.0
0.0,1,2,200,125.0,2135000000,2135.0
0.0,2,1,45,70.0,185000000,185.0
4.0,4,3,220,158.0,2275000000,2275.0
3.0,4,3,225,308.0,3750000000,3750.0
1.0,2,1,40,50.0,175258258,175.26
1.0,2,1,22,40.0,175108100,175.11
1.0,2,1,30,40.0,175019000,175.02
2.0,3,3,20,81.0,1799000000,1799.0
0.0,4,2,168,150.0,1600000000,1600.0
0.0,2,2,45,60.0,800000000,800.0
0.0,4,2,90,71.0,1475000000,1475.0
0.0,4,3,103,144.0,2000000000,2000.0
1.0,2,2,45,85.0,520000000,520.0
0.0,3,3,103,144.0,2200000000,2200.0
0.0,2,3,94,102.0,1850000000,1850.0
0.0,2,1,40,83.0,1200000000,1200.0
2.0,4,3,120,160.0,1999900000,1999.9
2.0,4,3,150,119.0,2190000000,2190.0
2.0,4,2,300,200.0,3450000000,3450.0
0.0,3,2,110,139.0,1900000000,1900.0
2.0,4,3,100,123.0,1150000000,1150.0
1.0,4,3,350,200.0,1795000000,1795.0
2.0,4,3,112,105.0,1700000000,1700.0
0.0,4,3,150,144.0,999000000,999.0
2.0,5,3,150,108.0,1200000000,1200.0
1.0,2,1,50,84.0,745000000,745.0
1.0,2,1,40,66.0,750000000,750.0
0.0,4,2,130,97.0,995000000,995.0
2.0,3,2,100,196.0,1100000000,1100.0
1.0,2,1,48,78.0,850000000,850.0
1.0,2,2,45,83.0,505000000,505.0
2.0,4,3,150,130.0,2300000000,2300.0
0.0,3,2,120,74.0,799000000,799.0
0.0,9,7,550,258.0,4490000000,4490.0
0.0,4,3,244,320.0,3250000000,3250.0
20.0,28,28,245,245.0,1650000000,1650.0
1.0,5,3,120,60.0,875000000,875.0
1.0,4,3,300,200.0,1800000000,1800.0
0.0,3,2,140,121.0,1200000000,1200.0
2.0,5,3,180,219.0,2000000000,2000.0
1.0,3,2,85,105.0,1250000000,1250.0
0.0,2,1,50,105.0,625000000,625.0
0.0,4,3,120,120.0,1750000000,1750.0
0.0,3,2,62,100.0,950000000,950.0
0.0,3,2,55,100.0,975000000,975.0
0.0,3,2,96,120.0,1700000000,1700.0
0.0,3,2,130,101.0,1525000000,1525.0
1.0,5,4,140,110.0,2450000000,2450.0
0.0,2,3,94,90.0,195000000,195.0
0.0,2,1,60,80.0,280000000,280.0
5.0,8,5,600,400.0,2700000000,2700.0
0.0,3,3,100,90.0,1650000000,1650.0
0.0,3,2,160,120.0,2400000000,2400.0
1.0,3,2,180,85.0,1084400000,1084.4
0.0,4,3,350,200.0,1800000000,1800.0
4.0,7,3,320,362.0,4200000000,4200.0
1.0,3,2,114,100.0,2000000000,2000.0
0.0,7,4,133,302.0,3800000000,3800.0
0.0,2,1,60,101.0,875000000,875.0
0.0,3,2,140,96.0,980000000,980.0
0.0,19,19,236,261.0,4000000000,4000.0
0.0,13,13,232,118.0,3400000000,3400.0
0.0,4,3,200,120.0,2000000000,2000.0
2.0,7,3,320,206.0,3000000000,3000.0
1.0,3,2,54,60.0,760000000,760.0
0.0,6,5,420,230.0,3100000000,3100.0
1.0,2,1,38,75.0,997000000,997.0
1.0,2,1,36,60.0,850000000,850.0
0.0,4,4,200,160.0,2900000000,2900.0
1.0,3,2,120,150.0,1400000000,1400.0
1.0,5,3,320,244.0,2900000000,2900.0
0.0,10,10,146,70.0,2300000000,2300.0
1.0,5,4,225,176.0,3250000000,3250.0
1.0,3,1,70,103.0,1100000000,1100.0
0.0,5,2,100,149.0,1950000000,1950.0
0.0,4,2,175,162.0,1750000000,1750.0
3.0,7,6,300,330.0,3500000000,3500.0
2.0,3,1,120,144.0,880000000,880.0
0.0,4,2,200,120.0,1700000000,1700.0
2.0,3,2,100,136.0,1190000000,1190.0
0.0,2,3,210,130.0,3100000000,3100.0
1.0,3,3,120,147.0,1050000000,1050.0
0.0,4,4,134,180.0,2700000000,2700.0
1.0,3,2,145,118.0,2150000000,2150.0
0.0,4,3,350,200.0,2900000000,2900.0
2.0,3,2,140,176.0,1250000000,1250.0
2.0,5,4,220,214.0,1750000000,1750.0
5.0,9,10,350,296.0,3200000000,3200.0
6.0,7,6,300,330.0,3500000000,3500.0
2.0,3,2,175,140.0,2700000000,2700.0
0.0,5,5,350,230.0,4300000000,4300.0
2.0,4,3,172,176.0,5210000000,5210.0
2.0,4,2,180,166.0,1500000000,1500.0
0.0,3,2,200,230.0,3200000000,3200.0
2.0,5,3,400,220.0,2750000000,2750.0
2.0,6,3,250,129.0,1650000000,1650.0
1.0,1,1,120,254.0,1300000000,1300.0
2.0,4,4,130,85.0,1900000000,1900.0
2.0,5,4,130,150.0,2050000000,2050.0
0.0,2,1,43,100.0,1000000000,1000.0
0.0,4,2,130,97.0,995000000,995.0
0.0,3,2,140,160.0,1500000000,1500.0
0.0,2,1,43,66.0,1380000000,1380.0
1.0,12,6,250,193.0,2700000000,2700.0
0.0,10,9,350,134.0,3450000000,3450.0
0.0,9,9,180,90.0,950000000,950.0
0.0,2,1,50,80.0,550000000,550.0
0.0,34,1,720,320.0,4800000000,4800.0
0.0,3,2,180,90.0,1100000000,1100.0
2.0,6,5,600,385.0,3500000000,3500.0
0.0,3,2,200,225.0,3400000000,3400.0
130.0,5,4,185,130.0,3200000000,3200.0
2.0,6,2,190,120.0,1550000000,1550.0
