Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,3.0,2.0,60.0,100.0,980000000,980.0
1.0,4.0,3.0,120.0,70.0,975000000,975.0
0.0,3.0,2.0,90.0,108.0,1250000000,1250.0
1.0,3.0,3.0,130.0,235.0,1650000000,1650.0
0.0,2.0,1.0,54.0,125.0,900000000,900.0
0.0,4.0,2.0,190.0,231.0,1600000000,1600.0
0.0,3.0,2.0,100.0,176.0,1200000000,1200.0
0.0,4.0,2.0,230.0,278.0,1350000000,1350.0
2.0,5.0,3.0,280.0,140.0,2600000000,2600.0
0.0,5.0,3.0,164.0,120.0,1200000000,1200.0
2.0,4.0,3.0,92.0,84.0,1500000900,1500.0
2.0,5.0,4.0,210.0,140.0,2700000000,2700.0
0.0,3.0,2.0,60.0,70.0,900000000,900.0
2.0,3.0,1.0,70.0,198.0,1400000000,1400.0
2.0,4.0,3.0,164.0,120.0,1200000000,1200.0
0.0,5.0,3.0,280.0,110.0,2500000000,2500.0
2.0,3.0,2.0,98.0,115.0,1400000000,1400.0
1.0,3.0,2.0,75.0,127.0,850000000,850.0
1.0,2.0,1.0,51.0,102.0,1250000000,1250.0
2.0,5.0,3.0,210.0,140.0,2700000000,2700.0
2.0,3.0,2.0,105.0,117.0,1900000000,1900.0
1.0,8.0,4.0,176.0,243.0,3000000000,3000.0
1.0,4.0,2.0,120.0,198.0,1700000000,1700.0
1.0,6.0,1.0,100.0,150.0,1500000000,1500.0
0.0,3.0,1.0,90.0,72.0,975000000,975.0
1.0,2.0,2.0,50.0,67.0,779000000,779.0
1.0,2.0,1.0,33.0,62.0,350000000,350.0
1.0,2.0,1.0,33.0,62.0,350000000,350.0
1.0,2.0,1.0,45.0,62.0,595000000,595.0
1.0,2.0,1.0,45.0,62.0,595000000,595.0
1.0,2.0,2.0,60.0,67.0,750000000,750.0
1.0,2.0,1.0,80.0,150.0,1500000000,1500.0
1.0,2.0,2.0,75.0,127.0,850000000,850.0
1.0,2.0,2.0,110.0,126.0,1100000000,1100.0
2.0,3.0,2.0,100.0,130.0,1250000000,1250.0
0.0,2.0,1.0,120.0,72.0,450000000,450.0
0.0,4.0,2.0,105.0,117.0,1900000000,1900.0
0.0,3.0,2.0,105.0,117.0,1900000000,1900.0
0.0,2.0,1.0,60.0,82.0,899000000,899.0
0.0,5.0,3.0,150.0,135.0,1800000000,1800.0
0.0,3.0,2.0,94.0,111.0,1600000000,1600.0
0.0,4.0,3.0,250.0,294.0,3200000000,3200.0
0.0,3.0,2.0,75.0,127.0,850000000,850.0
1.0,5.0,3.0,200.0,150.0,2600000000,2600.0
0.0,5.0,3.0,150.0,135.0,1800000000,1800.0
2.0,3.0,2.0,105.0,117.0,1900000000,1900.0
0.0,2.0,1.0,36.0,69.0,531900000,531.9
1.0,2.0,2.0,60.0,100.0,980000000,980.0
20.0,2.0,1.0,40.0,65.0,760000000,760.0
0.0,4.0,3.0,197.0,230.0,2450000000,2450.0
1.0,5.0,4.0,170.0,120.0,1350000000,1350.0
3.0,1.0,2.0,150.0,105.0,1450000000,1450.0
0.0,3.0,3.0,100.0,140.0,950000000,950.0
1.0,2.0,1.0,33.0,61.0,350000000,350.0
1.0,2.0,1.0,45.0,61.0,595000000,595.0
1.0,2.0,1.0,45.0,61.0,595000000,595.0
1.0,2.0,2.0,60.0,66.0,750000000,750.0
0.0,5.0,4.0,245.0,160.0,2500000000,2500.0
1.0,4.0,2.0,105.0,117.0,1900000000,1900.0
2.0,5.0,4.0,190.0,135.0,2100000000,2100.0
2.0,4.0,3.0,250.0,294.0,3200000000,3200.0
4.0,12.0,6.0,270.0,108.0,2350000000,2350.0
3.0,12.0,6.0,270.0,108.0,2350000000,2350.0
0.0,4.0,3.0,202.0,109.0,1980000000,1980.0
0.0,2.0,2.0,96.0,102.0,985000000,985.0
1.0,2.0,1.0,36.0,60.0,550000000,550.0
1.0,2.0,1.0,33.0,60.0,350064700,350.06
1.0,2.0,1.0,45.0,60.0,595000000,595.0
1.0,2.0,2.0,60.0,65.0,750000000,750.0
2.0,4.0,3.0,202.0,109.0,1980000000,1980.0
1.0,2.0,1.0,36.0,72.0,556000000,556.0
1.0,4.0,3.0,90.0,180.0,1850000000,1850.0
0.0,3.0,3.0,180.0,200.0,1600000000,1600.0
0.0,4.0,2.0,150.0,91.0,1000000000,1000.0
0.0,2.0,2.0,101.0,110.0,1500000000,1500.0
0.0,4.0,4.0,96.0,144.0,1190000000,1190.0
2.0,4.0,3.0,202.0,109.0,1980000000,1980.0
1.0,4.0,2.0,70.0,180.0,1550000000,1550.0
1.0,4.0,2.0,70.0,180.0,1550000000,1550.0
1.0,2.0,1.0,60.0,98.0,975000000,975.0
