,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
348,3.0,2.0,80.0,150.0,1500000000
349,3.0,2.0,55.0,105.0,552000000
350,4.0,4.0,105.0,93.0,1650000000
351,3.0,3.0,160.0,232.0,1650000000
352,4.0,2.0,230.0,278.0,1300000000
353,3.0,3.0,90.0,107.0,1267000000
354,2.0,2.0,51.0,90.0,742000000
355,4.0,3.0,202.0,109.0,1985000000
356,4.0,3.0,320.0,168.0,1500000000
357,4.0,2.0,180.0,90.0,975000000
358,4.0,2.0,150.0,78.0,1200000000
359,6.0,4.0,150.0,279.0,3000000000
360,4.0,2.0,230.0,278.0,1300000000
361,3.0,2.0,100.0,112.0,1100000000
362,3.0,2.0,105.0,96.0,1350000000
363,3.0,3.0,144.0,96.0,1200000000
364,3.0,2.0,140.0,85.0,1100000000
365,4.0,3.0,98.0,135.0,950000000
366,2.0,1.0,40.0,57.0,456000000
367,3.0,2.0,140.0,85.0,1100000000
368,3.0,2.0,212.0,256.0,2900000000
369,4.0,2.0,153.0,184.0,1500000000
370,5.0,2.0,90.0,160.0,1100000000
371,2.0,1.0,37.0,91.0,542000000
372,2.0,1.0,36.0,70.0,750000000
373,5.0,5.0,100.0,308.0,2500000000
374,4.0,2.0,230.0,278.0,1350000000
375,3.0,2.0,140.0,85.0,1100000000
376,5.0,2.0,140.0,144.0,1100000000
377,3.0,1.0,200.0,144.0,1200000000
378,3.0,3.0,120.0,188.0,1675000000
379,4.0,2.0,230.0,278.0,1350000000
380,2.0,1.0,40.0,72.0,630000000
381,4.0,2.0,100.0,98.0,990000000
383,3.0,2.0,100.0,105.0,1800000000
384,3.0,2.0,120.0,90.0,2000000000
385,2.0,2.0,84.0,108.0,1299000000
388,3.0,2.0,212.0,256.0,2900000000
389,5.0,4.0,122.0,130.0,2199000000
390,4.0,3.0,220.0,120.0,1550000000
391,4.0,2.0,140.0,100.0,990000000
392,7.0,3.0,200.0,300.0,2350000000
393,4.0,3.0,202.0,109.0,1985000000
394,3.0,3.0,165.0,122.0,1585000000
395,7.0,3.0,200.0,300.0,2350000000
396,5.0,3.0,160.0,120.0,1200000000
397,3.0,2.0,120.0,90.0,2000000000
398,3.0,3.0,150.0,120.0,1500000000
399,4.0,3.0,220.0,258.0,2900000000
400,3.0,2.0,90.0,108.0,1200000000
401,3.0,2.0,212.0,256.0,2900000000
402,3.0,2.0,212.0,256.0,2900000000
403,3.0,2.0,72.0,96.0,985000000
404,3.0,3.0,144.0,96.0,1190000000
406,4.0,3.0,164.0,120.0,1200000000
407,2.0,2.0,120.0,60.0,750000000
408,3.0,2.0,135.0,96.0,1197000000
409,3.0,2.0,100.0,176.0,1200000000
410,3.0,2.0,70.0,95.0,850000000
411,2.0,2.0,110.0,126.0,950000000
412,2.0,2.0,120.0,60.0,750000000
413,2.0,2.0,60.0,104.0,850000000
414,4.0,2.0,230.0,278.0,1350000000
415,3.0,2.0,212.0,256.0,2950000000
417,5.0,3.0,200.0,150.0,2600000000
418,4.0,2.0,230.0,278.0,1350000000
419,3.0,1.0,60.0,100.0,975000000
420,3.0,2.0,120.0,90.0,985000000
421,4.0,2.0,198.0,120.0,1650000000
422,4.0,2.0,230.0,278.0,1350000000
423,3.0,3.0,105.0,108.0,1300000000
424,3.0,2.0,98.0,78.0,794000000
425,4.0,2.0,230.0,278.0,1350000000
426,4.0,2.0,278.0,278.0,1350000000
427,4.0,3.0,212.0,256.0,2950000000
428,7.0,3.0,200.0,300.0,2350000000
429,4.0,2.0,230.0,278.0,1350000000
430,3.0,2.0,60.0,100.0,980000000
431,4.0,3.0,120.0,70.0,975000000
432,3.0,2.0,90.0,108.0,1250000000
433,3.0,3.0,130.0,235.0,1650000000
434,2.0,1.0,54.0,125.0,900000000
435,4.0,2.0,190.0,231.0,1600000000
436,3.0,2.0,100.0,176.0,1200000000
437,4.0,2.0,230.0,278.0,1350000000
438,5.0,3.0,280.0,140.0,2600000000
440,5.0,3.0,164.0,120.0,1200000000
441,4.0,3.0,92.0,84.0,1500000900
442,5.0,4.0,210.0,140.0,2700000000
443,3.0,2.0,60.0,70.0,900000000
444,3.0,1.0,70.0,198.0,1400000000
445,4.0,3.0,164.0,120.0,1200000000
446,5.0,3.0,280.0,110.0,2500000000
447,3.0,2.0,98.0,115.0,1400000000
448,3.0,2.0,75.0,127.0,850000000
449,2.0,1.0,51.0,102.0,1250000000
450,5.0,3.0,210.0,140.0,2700000000
451,3.0,2.0,105.0,117.0,1900000000
453,8.0,4.0,176.0,243.0,3000000000
454,4.0,2.0,120.0,198.0,1700000000
455,6.0,1.0,100.0,150.0,1500000000
456,3.0,1.0,90.0,72.0,975000000
457,2.0,2.0,50.0,67.0,779000000
458,2.0,1.0,33.0,62.0,350000000
459,2.0,1.0,33.0,62.0,350000000
460,2.0,1.0,45.0,62.0,595000000
461,2.0,1.0,45.0,62.0,595000000
462,2.0,2.0,60.0,67.0,750000000
463,2.0,1.0,80.0,150.0,1500000000
464,2.0,2.0,75.0,127.0,850000000
465,2.0,2.0,110.0,126.0,1100000000
466,3.0,2.0,100.0,130.0,1250000000
467,2.0,1.0,120.0,72.0,450000000
468,4.0,2.0,105.0,117.0,1900000000
469,3.0,2.0,105.0,117.0,1900000000
470,2.0,1.0,60.0,82.0,899000000
471,5.0,3.0,150.0,135.0,1800000000
472,3.0,2.0,94.0,111.0,1600000000
473,4.0,3.0,250.0,294.0,3200000000
474,3.0,2.0,75.0,127.0,850000000
475,5.0,3.0,200.0,150.0,2600000000
476,5.0,3.0,150.0,135.0,1800000000
477,3.0,2.0,105.0,117.0,1900000000
478,2.0,1.0,36.0,69.0,531900000
479,2.0,2.0,60.0,100.0,980000000
480,2.0,1.0,40.0,65.0,760000000
481,4.0,3.0,197.0,230.0,2450000000
483,5.0,4.0,170.0,120.0,1350000000
484,1.0,2.0,150.0,105.0,1450000000
485,3.0,3.0,100.0,140.0,950000000
486,2.0,1.0,33.0,61.0,350000000
487,2.0,1.0,45.0,61.0,595000000
488,2.0,1.0,45.0,61.0,595000000
489,2.0,2.0,60.0,66.0,750000000
490,5.0,4.0,245.0,160.0,2500000000
491,4.0,2.0,105.0,117.0,1900000000
492,5.0,4.0,190.0,135.0,2100000000
494,4.0,3.0,250.0,294.0,3200000000
495,12.0,6.0,270.0,108.0,2350000000
496,12.0,6.0,270.0,108.0,2350000000
497,4.0,3.0,202.0,109.0,1980000000
498,2.0,2.0,96.0,102.0,985000000
499,2.0,1.0,36.0,60.0,550000000
500,2.0,1.0,33.0,60.0,350064700
501,2.0,1.0,45.0,60.0,595000000
502,2.0,2.0,60.0,65.0,750000000
503,4.0,3.0,202.0,109.0,1980000000
504,2.0,1.0,36.0,72.0,556000000
505,4.0,3.0,90.0,180.0,1850000000
506,3.0,3.0,180.0,200.0,1600000000
507,4.0,2.0,150.0,91.0,1000000000
508,2.0,2.0,101.0,110.0,1500000000
