Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
3.0,1.0,45.0,67.0,595000000,595.0
3.0,4.0,135.0,96.0,1200000000,1200.0
2.0,2.0,50.0,85.0,694000000,694.0
2.0,2.0,50.0,60.0,515000000,515.0
2.0,2.0,59.0,60.0,512000000,512.0
5.0,4.0,170.0,133.0,1850000000,1850.0
3.0,2.0,102.0,102.0,1150000000,1150.0
4.0,4.0,160.0,120.0,1275000000,1275.0
3.0,2.0,70.0,95.0,850000000,850.0
2.0,2.0,50.0,60.0,512000000,512.0
3.0,2.0,155.0,150.0,2200000000,2200.0
2.0,1.0,70.0,120.0,950000000,950.0
5.0,4.0,245.0,186.0,1600000000,1600.0
3.0,1.0,145.0,177.0,1200000000,1200.0
2.0,1.0,125.0,90.0,900000000,900.0
3.0,3.0,105.0,100.0,1150000000,1150.0
3.0,2.0,70.0,148.0,900000000,900.0
5.0,3.0,175.0,105.0,1270000000,1270.0
3.0,2.0,105.0,137.0,1400000000,1400.0
2.0,1.0,165.0,287.0,1250000000,1250.0
2.0,2.0,45.0,61.0,479000000,479.0
2.0,2.0,98.0,50.0,791000000,791.0
3.0,2.0,180.0,198.0,2500000000,2500.0
2.0,1.0,85.0,94.0,675000000,675.0
3.0,2.0,120.0,90.0,825000000,825.0
2.0,1.0,50.0,80.0,625000000,625.0
4.0,2.0,100.0,66.0,875000000,875.0
3.0,2.0,111.0,111.0,1400000000,1400.0
4.0,3.0,200.0,119.0,1785000000,1785.0
3.0,3.0,80.0,120.0,1200000000,1200.0
2.0,1.0,40.0,70.0,685000000,685.0
3.0,1.0,112.0,60.0,599000000,599.0
2.0,1.0,60.0,144.0,1100000000,1100.0
2.0,2.0,75.0,103.0,1025000000,1025.0
4.0,4.0,250.0,355.0,2800000000,2800.0
3.0,2.0,140.0,350.0,2500000000,2500.0
3.0,2.0,180.0,198.0,2600000000,2600.0
3.0,2.0,120.0,114.0,1450000000,1450.0
3.0,2.0,180.0,195.0,2500000000,2500.0
6.0,3.0,150.0,150.0,1300000000,1300.0
3.0,2.0,80.0,84.0,770000000,770.0
2.0,2.0,60.0,53.0,650000000,650.0
2.0,2.0,61.0,96.0,825000000,825.0
3.0,2.0,75.0,103.0,945000000,945.0
2.0,1.0,50.0,72.0,800000000,800.0
2.0,1.0,60.0,70.0,660000000,660.0
3.0,2.0,75.0,103.0,945000000,945.0
4.0,3.0,125.0,119.0,2250000000,2250.0
4.0,3.0,120.0,110.0,1400000000,1400.0
2.0,1.0,50.0,69.0,575000000,575.0
4.0,2.0,1.5,160.0,999000000,999.0
2.0,1.0,100.0,350.0,1500000000,1500.0
3.0,2.0,150.0,232.0,1450000000,1450.0
3.0,2.0,75.0,103.0,945000000,945.0
3.0,2.0,95.0,150.0,1200000000,1200.0
4.0,3.0,100.0,155.0,1900000000,1900.0
3.0,1.0,160.0,176.0,1250000000,1250.0
3.0,1.0,100.0,220.0,1500000000,1500.0
3.0,2.0,150.0,176.0,1275000000,1275.0
2.0,1.0,50.0,69.0,575000000,575.0
2.0,2.0,52.0,98.0,775000000,775.0
2.0,2.0,51.0,98.0,791000000,791.0
3.0,3.0,100.0,100.0,1400000000,1400.0
2.0,1.0,60.0,93.0,835000000,835.0
2.0,1.0,60.0,95.0,868000000,868.0
3.0,1.0,75.0,143.0,835000000,835.0
4.0,2.0,275.0,158.0,1400000000,1400.0
3.0,2.0,190.0,220.0,1200000000,1200.0
4.0,3.0,192.0,192.0,1500000000,1500.0
3.0,2.0,135.0,193.0,1500000000,1500.0
2.0,2.0,60.0,72.0,685000000,685.0
3.0,2.0,75.0,90.0,550000000,550.0
4.0,2.0,132.0,193.0,1400000000,1400.0
2.0,2.0,84.0,105.0,585000000,585.0
2.0,1.0,60.0,135.0,685000000,685.0
3.0,2.0,36.0,116.0,1450000000,1450.0
5.0,4.0,300.0,306.0,2100000000,2100.0
2.0,1.0,45.0,70.0,625000000,625.0
3.0,2.0,90.0,133.0,1000000000,1000.0
3.0,2.0,136.0,116.0,1450000000,1450.0
2.0,1.0,200.0,300.0,1400000000,1400.0
5.0,4.0,290.0,306.0,2750000000,2750.0
3.0,2.0,120.0,144.0,999000000,999.0
3.0,3.0,164.0,132.0,1500000000,1500.0
3.0,2.0,220.0,150.0,1700000000,1700.0
5.0,5.0,290.0,306.0,2800000000,2800.0
4.0,4.0,145.0,117.0,1150000000,1150.0
2.0,2.0,70.0,116.0,850000000,850.0
2.0,1.0,36.0,78.0,525000000,525.0
5.0,3.0,255.0,252.0,2800000000,2800.0
4.0,2.0,115.0,115.0,850000000,850.0
2.0,1.0,68.0,138.0,1100000000,1100.0
2.0,2.0,90.0,132.0,1000000000,1000.0
3.0,2.0,90.0,104.0,625000000,625.0
5.0,4.0,350.0,400.0,2850000000,2850.0
2.0,1.0,65.0,135.0,650000000,650.0
4.0,3.0,230.0,168.0,2200000000,2200.0
2.0,1.0,45.0,73.0,630000000,630.0
3.0,2.0,120.0,160.0,1350000000,1350.0
4.0,4.0,180.0,125.0,1500000000,1500.0
4.0,3.0,200.0,120.0,1300000000,1300.0
4.0,3.0,159.0,142.0,2000000000,2000.0
4.0,3.0,200.0,121.0,1300000000,1300.0
